,sum_exp,sum,dif,dif_low,diff_up,rr,rr_low,rr_up,pvalue,region,period,sum_exp,sum,dif,dif_low,diff_up,rr,rr_low,rr_up,pvalue,region,2
116,11427952.59,11192000,-235952.5908,-713016.7111,278404.0468,0.979832376,0.940107879,1.025509837,0.346,Inner Mongolia,4,11427952.6,11192000,-235953,-713017,278404,0.98,0.94,1.03,0.346,Inner Mongolia,4
124,50271834.75,38450000,-11821834.75,-14359108.91,-9415086.694,0.765347349,0.72809409,0.803299496,0,Jiangsu,4,50271834.7,38450000,-11821835,-14359109,-9415087,0.77,0.73,0.80,0,Jiangsu,4
132,17603393.98,15132000,-2471393.98,-3483739.277,-1523229.533,0.860278458,0.812860548,0.908543468,0,Jiangxi,4,17603394,15132000,-2471394,-3483739,-1523230,0.86,0.81,0.91,0,Jiangxi,4
140,10547744.66,5929000,-4618744.658,-5039452.348,-4197785.144,0.562333907,0.540550282,0.585477021,0,Jilin,4,10547744.7,5929000,-4618745,-5039452,-4197785,0.56,0.54,0.59,0,Jilin,4
148,20345152.06,15656000,-4689152.059,-5464644.674,-3972337.724,0.769775503,0.741265253,0.797622306,0,Liaoning,4,20345152.1,15656000,-4689152,-5464645,-3972338,0.77,0.74,0.80,0,Liaoning,4
156,4219302.019,3726000,-493302.0191,-701819.0724,-279406.2343,0.883648382,0.841497799,0.930242723,0,Ningxia,4,4219302.02,3726000,-493302,-701819,-279406,0.88,0.84,0.93,0,Ningxia,4
164,2638717.401,2255000,-383717.401,-642777.886,-172379.238,0.856313382,0.77818249,0.928985486,0,Qinghai,4,2638717.4,2255000,-383717,-642778,-172379,0.86,0.78,0.93,0,Qinghai,4
172,20729450.25,19123000,-1606450.252,-2076424.031,-1132125.666,0.922631443,0.90205281,0.944106708,0,Shaanxi,4,20729450.3,19123000,-1606450,-2076424,-1132126,0.92,0.90,0.94,0,Shaanxi,4
180,51349416.77,41252000,-10097416.77,-12661975.78,-7610344.246,0.803846028,0.765144841,0.84424932,0,Shandong,4,51349416.8,41252000,-10097417,-12661976,-7610344,0.80,0.77,0.84,0,Shandong,4
188,30623032.97,11018000,-19605032.97,-21495602,-17804342.94,0.360114107,0.338873562,0.382272885,0,Shanghai,4,30623033,11018000,-19605033,-21495602,-17804343,0.36,0.34,0.38,0,Shanghai,4
196,14603309.78,12536000,-2067309.776,-3243385.388,-913537.623,0.859818117,0.794454265,0.932076678,0.002,Shanxi,4,14603309.8,12536000,-2067310,-3243385,-913538,0.86,0.79,0.93,0.002,Shanxi,4
204,46330529.9,41204000,-5126529.901,-6847339.662,-3483018.599,0.889651324,0.857499506,0.92205749,0,Sichuan,4,46330529.9,41204000,-5126530,-6847340,-3483019,0.89,0.86,0.92,0,Sichuan,4
212,11843703.42,10128000,-1715703.42,-2233504.547,-1226126.713,0.85554146,0.819317743,0.892010479,0,Tianjin,4,11843703.4,10128000,-1715703,-2233505,-1226127,0.86,0.82,0.89,0,Tianjin,4
220,983980.8852,1047000,63019.11477,-43394.51152,163043.6338,1.067124309,0.96020302,1.184447655,0.216,Tibet,4,983980.885,1047000,63019,-43395,163044,1.07,0.96,1.18,0.216,Tibet,4
228,9202574.258,11421000,2218425.742,1667808.663,2736224.617,1.242128716,1.171001327,1.315059918,0,Xinjiang,4,9202574.26,11421000,2218426,1667809,2736225,1.24,1.17,1.32,0,Xinjiang,4
236,24369165.31,20625000,-3744165.315,-4393558.807,-3103178.772,0.846515843,0.824388014,0.869219682,0,Yunnan,4,24369165.3,20625000,-3744165,-4393559,-3103179,0.85,0.82,0.87,0,Yunnan,4
